id,color,codigo_color,codigo_tela,descripcion_tela,ancho_tela
1624,MOSS TINT,1624,TE00009854,"SILK TAFFETA, ART. 1254F TARONI, COL. 804 ECRU",1.40
1625,IMPALA,1625,TE00008723,"SOLID VELVET, ESPERIA.2, BLACK T",1.35
1626,SOILED'AVANT,1626,TEL0006205,TAFETA SEDA NEGRA LIGHT LTF#035,1.37
1627,RADIAN YELLOW,1627,TEL0006181,TAFETA SEDA FALLA NEGRO 9400 BLACK,1.37
1628,GOLDEN HARVEST,1628,TEL0005786,CHARMEUSSE DUTCHESS NEGRO 9500 26 59 60,1.49
1629,BRINDLE,1629,TEN0007366,ODENA 0.5 CAMEL,1.50
1630,SEDONA SAGE,1630,TE00009889,"SOLID LEATHER, ART.39608 KLAUBER BROTHERS, COL.WINE",1.47
1631,ECRU WISKEY,1631,TE00009888,"SOLID LEATHER, ART.39608 KLAUBER BROTHERS, COL.BLACK",1.47
1632,BITTERWEET,1632,TE00009887,"EMBROIDERY LEATHER, ART.39608 KLAUBER BROTHERS, SEDUCCION LUNAR TOP",1.47
1633,RUBY,1633,TE00009885,"PRINTED CDC, CRK016 RATTI, FW24 SACRED PLANT MAXI DRESS",1.35
1634,ORANGE/BROWN,1634,PC00894,INDIAN MOTIFS MIDI DRESS,
1635,BLUE/WHITE DOTS,1635,PC00851,SACO CUELLO ALTO COLOR NEGRO,
1636,OFF WHITE/BLACK POLKA DOTS,1636,PC00850,SACO CUELLO ALTO COLOR ECRU,
1637,BLACK/WHITE POLKA DOTS,1637,PC00855,OASIS SERENADE- WINE/GINGER,
1638,BLACK FLOWER,1638,PC00856,AIR OF MYSTERY MIDI DRESS- BLACK/ECRU,
1639,PURPLE WINE,1639,PC00849,SACO CUELLO ALTO COLOR CAMEL,
1640,PRANRIE SUNST,1640,PC00852,"MEHNDI POLO- BLACK/WINE
",
1641,DEEP TERRACOTA/BLACK,1641,PC00853,"WINE INDIAN MOTIFS MIDI SKIRT- BLACK/WINE
",
1642,CHOCOLATE ESMERALDA BRANCHES,1642,TE00009894,"EMBROIDERY LEATHER TRIM, ART.39608 KLAUBER BROTHERS, COL.WINE",1.35
1643,COCO DE MER/MILITARY,1643,TE00009886,"EMBROIDERY LEATHER, ART.39608 KLAUBER BROTHERS, MESOPOTAMIA ANKLE SKIRT",1.47
1644,NOIR MUSTARD WILD GARDEN,1644,TE00009916,"PRINTED DOUBLE GGT, SI GGT 8200N JOKERS, FW24 EXCLUSIVE SPIRIT MAXI DRESS 110CMS",1.40
1645,40 AZUL EN SEDA,1645,TE00009918,"PRINTED DOUBLE, GGT SI GGT 8200N JOKERS, FW24 PALMERA PERSA MAXI DRESS",1.40
1646,AGUA,1646,TE00009917,"PRINTED DOUBLE, GGT SI GGT 8200N JOKERS, FW24 GOTAS FLORALES TOP 110CMS",1.40
1647,ANIMAL PRINCE (NEGRO),1647,TE00009919,"PRINTED DOUBLE, GGT SI GGT 8200N JOKERS, FW24 NATURALISM WRAP SKIRT 100CM",1.40
1648,BLANCO,1648,TE00009904,"PRINTED JACQUARD, MATELASSE SL0114N, RATTI, FW24 PLENTIFUL QUALITIES CAPE 80CMS",1.40
1649,DRESS,1649,TE00009920,"PRINTED JACQUARD, RODI LISA, FW24 SPITIRUAL CONNECTIONS WRAP DRESS",1.44
1650,ESMERALD/OFF WHITE,1650,TE00009921,"PRINTED JACQUARD, RODI LISA, FW24 PROFOUND PASSION MIDI SKIRT",1.44
1651,JADE PINK,1651,TE00009922,"PRINTED JACQUARD, RODI LISA, FW24 SPICE GARDEN TOP",1.44
1652,MAGENTA/VAINILLA,1652,TE00009931,"PRINTED SHINY JERSEY, 091528/2JD VALTROMP DOUBLE VISION FASAC, FW’24 ORIENTAL CHRONICLES ANKLE DRESS",1.40
1653,MAGENTA/ BLACK,1653,TE00009932,"PRINTED SHINY JERSEY, 091528/2JD VALTROMP DOUBLE VISION FASAC, FW'24 NECTAR DE AMAPOLLA ANKLE DRESS",1.40
1654,MANDARINE,1654,TE00009933,"PRINTED SHINY JERSEY, 091528/2JD VALTROMP DOUBLE VISION FASAC, FW’24 POPPY OASIS ANKLE DRESS",1.40
1655,MENS GRAY,1655,TE00009934,"PRINTED SHINY JERSEY, 091528/2JD VALTROMP DOUBLE VISION FASAC, FW’24 PAISAJE LEJANO ANKLE DRESS",1.40
1656,NEGRO,1656,TE00009935,"PRINTED SHINY JERSEY, 091528/2JD VALTROMP DOUBLE VISION FASAC, FW'24 DIBUJO SIMBOLICO ANKLE DRESS",1.40
1657,NOIR/ROSE WILD GARDEN,1657,TE00009936,"PRINTED SHINY JERSEY, 091528/2JD VALTROMP DOUBLE VISION FASAC, FW´24 BRISA BEDUINA ANKLE DRESS",1.40
1658,PEACH CELESTE,1658,TE00009937,"PRINTED SHINY JERSEY, 091528/2JD VALTROMP DOUBLE VISION FASAC, FW´24 COLOURFUL ALLEGORY ANKLE DRESS",1.40
1659,PINK MASAI PRINT,1659,TE00009938,"PRINTED SHINY JERSEY, 091528/2JD VALTROMP DOUBLE VISION FASAC, FW'24 DYE RITUAL DRESS 150CMS",1.40
1660,RED MAXI TANGLED GARDEN,1660,TE00009939,"PRINTED CDC, CRK016 RATTI, FW24 TROPICAL FUSION SHIRT 80CMS",1.35
1661,RED SUCULENTA,1661,TE00009940,"PRINTED CDC, CRK016 RATTI, FW24 SIMPLE OPULENCE MAXI DRESS 110 CM",1.35
1662,ROSA,1662,TE00009941,"PRINTED CDC, CRK016 RATTI, FW24 PINTADO EN HENNA MIDI DRESS 80CMS",1.35
1663,SUMMER HAT NARANJA,1663,TE00009942,"PRINTED CDC, CRK016 RATTI, FW24 POESIA DE PAZ MAXI DRESS 40CM",1.35
1664,YELLOW MASAI PRINT,1664,TE00009943,"PRINTED CDC, CRK016 RATTI, FW24 PERSIAN ORIGIN MAXI SKIRT 80CMS",1.35
1665,BLACK/MARIGOLD,1665,TE00009939,"PRINTED CDC, CRK016 RATTI, FW24 TROPICAL FUSION SHIRT 80CMS",1.35
1666,BLUE RAFFIA,1666,TE00009930,"PRINTED CDC, CRK016 RATTI, FW24 FLORAL TRIBUTE TUNIC DRESS 80 CM",1.35
1667,BLUE SILVER,1667,TE00009929,"PRINTED CDC, CRK016 RATTI, FW24 LA BELLA REBELDE ANKLE DRESS 40CM",1.35
1668,COPPER CAMEL,1668,TE00009928,"PRINTED CDC, CRK016 RATTI, FW24 PAPAVER SOMNIFERUM TOP 40 CM",1.35
1669,COPPERTAN/PEACH/BROWN,1669,TE00009926,"PRINTED CDC, CRK016 RATTI, FW24 PARAJES LEJANOS ANKLE DRESS 160 CM",1.35
1670,DARK PISTACHIO,1670,TE00009927,"PRINTED VELVET, SI VEL 6600N JOKERS, FW24 PAISLEY JUNGLE TUNIC DRESS 90CM",1.35
1671,ECRU/AFTER SALSA RED,1671,TE00009925,"PRINTED WASHED CDC, RATTI, FW24 POSITIVE VIBRATIONS TOP 150 CM",1.34
1672,ECRU/MANGO ORANGE,1672,TE00009924,"PRINTED WASHED CDC, RATTI, FW24 ALEGORIA DE COLOR ANKLE SKIRT 150 CM",1.34
1673,ECRU STRIPES,1673,TE00009923,"PRINTED WASHED CDC, RATTI, FW24 RITUAL EN HENNA TUNIC DRESS 80CM",1.34
1674,IVORY/PRINTED,1674,TE00009890,"PRTD HEAVY CPE, 12010494FI000Q18329 OSTINELLI, FW24 PORTRAYING LIFE MAXI DRESS",1.40
1675,JADE PUNCH,1675,TE00009891,"PRTD HEAVY CPE, 120 010494-FI-000-Q18329 OSTINELLI, FW24 EL SERRALLO MINI DRESS",1.40
1676,MARIGOLD/BLACK,1676,TE00009893,"PRINTED JACQUARD, MATELASSE SL0114N, RATTI, FW24 PLENTIFUL QUALITIES MAXI DRESS",1.40
1677,MULTI/BUG PRINT,1677,TE00009892,"PRINTED JACQUARD, MATELASSE SL0114N, RATTI, FW24 EXQUISITE IMAGES MAXI DRESS",1.40
1678,ORANGE SEQUINS,1678,TE00009884,"PRINTED CDC, CRK016 RATTI, FW24 RETAINED SPIRITUALITY KIMONO",1.35
1679,ORANGE/CHILI PEPPER,1679,TE00009885,"PRINTED CDC, CRK016 RATTI, FW24 SACRED PLANT MAXI DRESS",1.35
1680,PAPRIKA/NATURAL,1680,TE00009898,"PRINTED CDC, CRK016 RATTI, FW24 OASIS DE ORIENTE MAXI DRESS",1.35
1681,POSION GREEN,1681,TE00009886,"EMBROIDERY LEATHER, ART.39608 KLAUBER BROTHERS, MESOPOTAMIA ANKLE SKIRT",1.47
1682,PRINTED,1682,TE00009895,"EMBROIDERY LEATHER TRIM, ART.39608 KLAUBER BROTHERS, COL.BLACK",
1683,RED/BLUSH,1683,TEN0007464,"LYCRA BAHIA 33474, LAFAYETTE, COL.191331",1.56
1684,RED/RUBY FIESTA,1684,TE00009903,"SILK TAFFETA, ART. TF SAISILKS, COL TF002",1.37
1685,RED/YELLOW,1685,TE00010027,CREPE DE SEDA PV1200/107 44 45,1.1
1686,ROSEBUD,1686,TE00008760,CDC PV1200W 190 CDC 16MM,1.37
1687,RUBY/ECRU,1687,TE00009983,"PRINTED DOUBL GGT, ART.SI GGT 8200N JOKERS, RS25 TROPICAL EXUBERNACE ALLOVER-AQUA GREEN-BRICK RED-160CM",1.40
1688,SMOKE/GREY,1688,TE00009984,"PRINTED DOUBL GGT, ART.SI GGT 8200N JOKERS, V2 RS25 TROPICAL EXUBERNACE ALLOVER-BRIGHT YELLOW-DEEP FOREST GREEN-160CM",1.40
1689,SOFT OLIVE/CHESTNUT,1689,TE00009985,"PRINTED DOUBL GGT, ART.SI GGT 8200N JOKERS, RS25 ARCO TROPICAL EXUBERNACE ROSE-GREEN 120CM",1.40
1690,TANGERINE LILY,1690,TE00009986,"PRINTED DOUBL GGT, ART.SI GGT 8200N JOKERS, RS25 ARCO TROPICAL EXUBERNACE WINE-BLUE-ECRU 160CM",1.40
1691,TRIBAL BLUE,1691,TE00009987,"PRINTED DOUBL GGT, ART.SI GGT 8200N JOKERS, RE25 RTW TROPICAL CATCH 140CM A BURGUNDY FUCSIA",1.40
1692,TRUFFLE/BLACK,1692,TE00009988,"PRINTED DOUBL GGT, ART.SI GGT 8200N JOKERS, RE25 RTW TROPICAL CATCH 140CM A ORANGE TEAL",1.40
1693,WHITE LINEN,1693,TE00010005,"PRINTED WASHED CDC, CRK016-RATTI, RE25 ARCO TROPICAL EXUBERANCE YELLOW-BROWN-GREEN 120CM",1.34
1694,PINK EFFERVESCENCE,1694,TE00010007,"PRINTED WASHED CDC, CRK016-RATTI, RE25 ARCO TROPICAL EXUBERNACE GREY-ECRU 160CM",1.34
1695,DARK ROSETTE,1695,TE00010008,"PRINTED WASHED CDC, CRK016-RATTI, RE25 ARCO TROPICAL EXUBERNACE YELLOW-BROWN-ECRU 160CM",1.34
1696,DEEPSTONE GRAY/MOSS,1696,TE00010009,"PRINTED WASHED CDC, CRK016-RATTI, RE25 RTW ROPE STRIPES -NAVY-ANTIQUE ECRU-70CM",1.34
1697,LEOPARD MIDNIGHT BLUE,1697,TE00008327,SOLID LINEN 43003 JULIA Z S IVORY,1.52
1698,TOILE MILITARY GREEN,1698,TE00009963,"PRINTED CDC, ART.CRK016-RATTI, RE25 TROPICAL EXUBERNACE ALLOVER-BRIGHT YELLOW-DEEP FOREST GREEN 160CM",1.35
1699,MILITAR GREEN NUDE,1699,TE00009964,"PRINTED CDC, ART.CRK016-RATTI, RE25 ARCO TROPICAL EXUBERNACE MARSALA-ECRU 160CM",1.35
1700,DEEPSTONE/PINK PIPING,1700,TE00009965,"PRINTED CDC, ART.CRK016-RATTI, RE25 ARCO TROPICAL EXUBERNACE BLACK-GREEN-ROSE 160CM",1.35
1701,TROPICAL GREEN,1701,TE00009966,"PRINTED CDC, ART.CRK016-RATTI, V2 RE25 TROPICAL EXUBERNACE ALLOVER-GREEN-FRESH SALMON-160CM",1.35
1702,BLACK/JADE,1702,TE00009967,"PRINTED CDC, ART.CRK016-RATTI, RE25 RTW TROPICAL CATCH 140CM B - OLIVE ROSE",1.35
1703,WHITE/BLACK,1703,TE00009968,"PRINTED CDC, ART.CRK016-RATTI, RE25 RTW TROPICAL CATCH 140CM B - BURGUNDY ECRU",1.35
1704,SATSUMA SPRITZ,1704,TE00009969,"PRINTED CDC, ART.CRK016-RATTI, RE25 RTW TROPICAL CATCH 140CM B - BLACK ECRU",1.35
1705,LEMON CHROME,1705,TE00009970,"PRINTED CDC, ART.CRK016-RATTI, RE25 ORIENTAL TROPICALISM-BLACK-ECRU 150CM",1.35
1706,TUSCAN SUN,1706,TE00009971,"PRINTED CDC, ART.CRK016-RATTI, RE25 ORIENTAL TROPICALISM-NIGHT MULTICOLOR 150CM",1.35
1707,TAN PEACH,1707,TE00009996,"PRINTED LINEN, LIK006-RATTI, RE25 RTW TROPICAL CATCH 140CM B EMERALD ECRU",1.47
1708,ALMOND BISCUIT,1708,TE00009997,"PRINTED LINEN, LIK006-RATTI, RE25 RTW TROPICAL CATCH 60CM BLUE DARK WINE",1.47
1709,GOLDEN SPICE,1709,TE00009998,"PRINTED LINEN, LIK006-RATTI, RE25 RTW TROPICAL CATCH 140CM B - BLACK ECRU",1.47
1710,SAFARI RIDE,1710,TE00009999,"PRINTED LINEN, LIK006-RATTI, RE25 RTW TROPICAL CATCH 140CM B - RUBY CREAM",1.47
1711,DARK OLIVE,1711,TE00010000,"PRINTED LINEN, LIK006-RATTI, RE25 RTW TROPICAL CATCH 60CM - RED ECRU",1.47
1712,SAVANNAH GOLD,1712,TE00010001,"PRINTED LINEN, LIK006-RATTI, RE25 RTW ROPES & MOLA-ANTIQUE ECRU-CHABLIS SAND-150CM",1.47
1713,BLEACHED APRICOT,1713,TE00010002,"PRINTED LINEN, LIK006-RATTI, RE25 RTW ROPES & MOLA-ANTIQUE ECRU-TOBACCO-90CM",1.47
1714,GOLDFISH,1714,TE00010010,"PRINTED LINEN, LIK006-RATTI, RE25 SWIM Rope Stripes-ECRU-AZURE BLUE-70CM",1.47
1715,PAPAYA ORANGE,1715,TE00010011,"PRINTED LINEN, LIK006-RATTI, RE25 SWIM Rope Stripes-ANTIQUE ECRU-GREEN-12CM",1.47
1716,DRAGON FIRE,1716,TE00010012,"PRINTED LINEN, LIK006-RATTI, RE25 ORIENTAL TROPICALISM-DAY MULTICOLOR 150CM",1.47
1717,TIGER,1717,TE00010038,"PRINTED VISCOSE CDC, ART.W0711EVO CLERICI, RE25 RTW TROPICAL CATCH 60CM - BLACK ECRU",1.39
1718,PUREED PUMKIN,1718,TE00010039,"PRINTED VISCOSE CDC, ART.W0711EVO CLERICI, RE25 RTW TROPICAL CATCH 140CM A - ORANGE TEAL",1.39
1719,HENNA,1719,TE00009949,"PRINTED SHINY JERSEY, ART.091528/2JD VALTROMP DBLE VSN, RS25 ARCO TROPICAL EXUBERNACE MARSALAECRU 160CM",1.40
1720,HAWAIIAN SUNSET,1720,TE00009950,"PRINTED SHINY JERSEY, ART.091528/2JD VALTROMP DBLE VSN, RE25 TROPICAL EXUBERNACE ALLOVER GREENFRESHSALMON 120CM",1.40
1721,EXUBERANCE YELLOW,1721,TE00009951,"PRINTED SHINY JERSEY, ART.091528/2JD VALTROMP DBLE VSN, RE25 RTW HIBISCUS SHADES BLACKWINEAQUA 50CM",1.40
1722,PINK SUNSET,1722,TE00009952,"PRINTED SHINY JERSEY, ART.091528/2JD VALTROMP DBLE VSN, RE25 RTW HIBISCUS SHADES WINEECRUNEGRO 50CM",1.40
1723,ARABESQUE,1723,TE00009946,"PRINTED SHINY JERSEY, ART.091528/2JD VALTROMP DBLE VSN, RE25 PALM SHADOWS WINEORANGE 130CM",1.40
1724,MUTED SALMON,1724,TE00009947,"PRINTED SHINY JERSEY, ART.091528/2JD VALTROMP DBLE VSN, RE25 RTW TROPICAL CATCH 140CMB BURGUNDYECRU",1.40
1725,SPICY NUDE,1725,TE00009948,"PRINTED SHINY JERSEY, ART.091528/2JD VALTROMP DBLE VSN, RE25 RTW TROPICAL CATCH 60CM BLACKECRU",1.40
1726,ROSE EXPEDITION,1726,TE00010003,"PRINTED LINEN, LIK006-RATTI, RE25 RTW HIBISCUS SHADES NAVY BLUE-ECRU-BLACK 50 CM",1.47
1727,BITTER MAGENTA,1727,TE00010006,"PRINTED WASHED CDC, CRK016-RATTI, RS25 ARCO TROPICAL EXUBERNACE ECRU-GREEN 120CM",1.34
1728,POMPEIAN RED,1728,TE00009953,"PRINTED JACQUARD, ART.RODI-LISA; RS25 TROPICAL EXUBERNACE ALLOVER, ECRU-TOBACCO-120CM DIS952761-JO1",1.44
1729,VOLCANO RED,1729,TE00009954,"PRINTED JACQUARD, ART.RODI-LISA; RE25 RTW TROPICAL CATCH 60CM, BLACK ECRU DIS952760-JO1",1.44
1730,SANDAL WOOD,1730,TE00009955,"PRINTED JACQUARD, ART.RODI-LISA; RE25 PALM SHADOWS V1 ECRU-GREEN 130 CM DIS952759-JO1",1.44
1731,SEA AT MIDNIGHT,1731,TE00009956,"PRINTED ECO POPLIN, ART.MANCHESTER-LISA, RE25 RTW ROPE STRIPES-NAVY-ECRU-70CM DIS952762-JO1",1.48
1732,EFFERVESCENT EMERALD,1732,TE00009958,"PRINTED ECO POPLIN, ART.MANCHESTER-LISA, RE25 RTW ROPE STRIPES-ECRU-AZURE BLUE-12CM DIS952785-JO3",1.48
1733,RAINFOREST GREEN,1733,TE00009959,"PRINTED ECO POPLIN, ART.MANCHESTER-LISA, RE25 RTW TROPICAL CATCH DIS952798-JO1",1.48
1734,FAIR GREEN,1734,TE00009960,"PRINTED ECO POPLIN, ART.MANCHESTER-LISA, RE25 RTW TROPICAL CATCH 140CM A - BLUE DARK WINE DIS952767-JO1",1.48
1735,MINT SPELL,1735,TE00009961,"PRINTED ECO POPLIN, ART.MANCHESTER-LISA, RE25 RTW TROPICAL CATCH 140CM A - DEEP BLUE SALMON DIS952767-JO2",1.48
1736,HEALING BLUE,1736,TE00009962,"PRINTED ECO POPLIN, ART.MANCHESTER-LISA, RE25 RTW ROPES & MOLA-BLACK-ECRU-150CM DIS952768-JO1",1.48
1737,SOFTEST MINT,1737,TE00009905,"PALMNIMAL JACQUARD, ART30727 TARONI, DIS.701461, COL. MIDNIGHT CHOCOLATE",1.37
1738,FOAM JADE,1738,TE00009906,"PALMNIMAL JACQUARD, ART30727 TARONI, DIS.701461, COL. EMERALD",1.37
1739,FOREVER ECRU,1739,TE00009907,"PALMNIMAL JACQUARD, ART30727 TARONI, DIS.701461, COL. BURGUNDY",1.37
1740,CRUISE NAVY,1740,TE00009908,"PALMNIMAL JACQUARD, ART30727 TARONI, DIS.701461, COL. ECRU",1.37
1741,ESTATE BLUE,1741,TE00004636,ALGODON ACTION POPELINA NEGRO 00012,1.35
1742,DUSK BLUE,1742,TE00000027,COTTON POPLIN ACTION TC4778/R1 ECCRU COL.14909,1.35
1743,PORCELAIN BLUE,1743,TE00008274,CDC NAVY PV1200W 194 CDC 16MM,1.37
1744,CRYSTAL WATERS,1744,TE00010071,CREPE BIRDS 84 VERDE,1.44
1745,ICED LATTE,1745,TE00010072,PAÑO ART. CU528 RATTI COLOR VINO CON RAYAS BLANCAS,1.48
1746,MOON GRAY,1746,TE00009899,"SOLID LINEN, ART.91118 LINEN CLUB, COL.MILITARY GREEN",1.60
1747,SOUL WINE,1747,TE00009900,"SOLID LINEN, ART.91118 LINEN CLUB, COL.MARSALA",1.60
1748,VANILLA CHUTNEY,1748,TE00009901,"SOLID LINEN, ART.91118 LINEN CLUB, COL.PAPRIKA",1.60
1749,TAN APRICOT,1749,TE00009902,"SOLID LINEN, ART.91118 LINEN CLUB, COL.OXYDE ORANGE",1.60
1750,LEMON PIE YELLOW,1750,TE00009982,"EMBROIDERY COTTON VOILE, BROCHE, RE25 RTW ROPES & MOLA ANTIQUE ECRUTOBACCO 90CM",1.30
1751,SATSUMA SPRITZ YELLOW,1751,TE00009989,"PRINTED PALM LEAVES SILK, ART.AGRA-LISA, RE25 PALM SHADOWS V1 ECRU-WINE 130 CM DIS952759-JO2",1.40
1752,MUTED GOLD,1752,TE00009990,"PRINTED PALM LEAVES SILK, ART.AGRA-LISA, RE25 PALM SHADOWS V1 BROWN-GREEN 130 CM DIS952759-JO3",1.40
1753,SAVANNAH SUN,1753,TE00009991,"PRINTED PALM LEAVES SILK, ART.AGRA-LISA, RE25 PALM SHADOWS V1 WINE-PIONK 130 CM DIS952759-JO4",1.40
1754,CADMIUM YELLOW,1754,TE00009957,"PRINTED ECO POPLIN, ART.MANCHESTER-LISA, RE25 RTW ROPE STRIPES-GREEN-ECRU-70CM DIS952762-JO2",1.48
1755,JO CAMEL,1755,TE00009972,"ENGRAVED JACQUARD, ART. MATELASSE-RATTI, RE25 RTW HIBISCUS SHADES WINE-ECRU-NEGRO 50CM",1.40
1756,BELLINI,1756,TE00009973,"ENGRAVED JACQUARD, ART. MATELASSE-RATTI, RE25 ARCO TROPICAL EXUBERNACE MARSALA-ECRU 160CM",1.40
1757,ORANGE RUST,1757,TE00009974,"ENGRAVED JACQUARD, ART. MATELASSE-RATTI, RE25 TROPICAL EXUBERNACE ALLOVER-GREEN-FRESH SALMON-160CM",1.40
1758,TANDORI PINK,1758,TE00009975,"ENGRAVED JACQUARD, ART. MATELASSE-RATTI, RE25 TROPICAL EXUBERNACE ALLOVER-ECRU-NAVY-160CM",1.40
1759,GOLDFISH ORANGE,1759,TE00010032,"PRINTED CRINKCLE, PLK023N/RICI145-RATTI, RE’25 RTW ROPES & MOLA-BLACK-ECRU-150CM",1.40
1760,SPICY SAFFRON,1760,TE00010033,"PRINTED CRINKCLE, PLK023N/RICI145-RATTI, RE’25 RTW PALM SHADOWS GREEN-ECRU 130 CM",1.40
1761,INDIAN HENNA ORANGE,1761,TE00009992,"PRINTED CRINKCLE, PLK023N/RICI145-RATTI, RE25 PALM SHADOWS V1 ECRU-WINE 130CM",1.40
1762,RED PEPPER,1762,TE00009993,"PRINTED CRINKCLE, PLK023N/RICI145-RATTI, RE25 RTW PALM SHADOWS FAIRY WINE-RED-ECRU 100CM",1.40
1763,ROOIBOS RED,1763,TE00009994,"PRINTED CRINKCLE, PLK023N/RICI145-RATTI, RE25 TROPICAL EXUBERNACE ALLOVER-GREEN-FRESH SALMON-160CM",1.40
1764,SUN DRIED TOMATO,1764,TE00009995,"PRINTED CRINKCLE, PLK023N/RICI145-RATTI, RE25 ARCO TROPICAL EXUBERNACE GREY-ECRU 160CM",1.40
1765,FIRED BRICK,1765,TE00010062,"CANVAS JACQUARD, ART.30865-TARONI,RE25 TROPICAL EXUBERNACE ECRU-RED 70CM",1.40
1766,TABACCO VANILLE,1766,TE00010063,"CANVAS JACQUARD, ART.30865-TARONI,RE25 TROPICAL EXUBERNACE ECRU-WINE 70CM",1.45
1767,SUNNY MARSALA,1767,TE00010073,"MIKADO JACQUARD, ART.31353F-TARONI, RE25 ORIENTAL TROPICALISM-MARSALA-ECRU 150CM",
1768,EMERALD GREEN,1768,TE00010065,"BICOLOR JACQUARD, ART.00M138 GENTILI, ECRU/RED OCHRE",1.11
1769,FERN GREEN,1769,TE00010066,"BICOLOR JACQUARD, ART.00M138 GENTILI, BLACK/ECRU",1.11
1770,SPRING BOUQUET,1770,TE00010067,"BICOLOR JACQUARD, ART.00M138 GREEN/WINE",1.11
1771,SILT GREEN,1771,TE00010068,"BICOLOR JACQUARD, ART.00M138 GENTILI, WINERY/FUCHSIA PURPLE",1.11
1772,JADE FOAM,1772,TE00010047,"SOLID LINEN, ART.KOS103 ARGOMENTI, COL.934 BROWN",1.27
1773,COLONIAL FERN GREEN,1773,TE00010048,"SOLID LINEN, ART.KOS103 ARGOMENTI, COL.319 LIGHT GREEN",1.27
1774,CAMOUFLAGE GREEN,1774,TE00010049,"SOLID LINEN, ART.KOS103 ARGOMENTI, COL.085 LIGHT BROWN",1.27
1775,GOLDEN GRAY,1775,TE00010050,"SOLID LINEN, ART.KOS103 ARGOMENTI, COL.0650 GREEN",1.27
1776,RED ORANGE,1776,TE00010051,"MESH DOTS, ART.UDINE73 ARGOMENTI, COL.BLACK",1.55
1777,LIGHT SALMON,1777,TE00010052,"EMBROIDERY COTTON, ART.FNC647 ARGOMENTI, COL.901",1.22
1778,CURCUMA YELLOW,1778,TE00000348,TJ WAFFLE EST.STRIPES BURG ECCRU PR30063 ZS8048 CA,
1779,DARK BURGUNDY,1779,TEN0007459,SILK/LUREX PANNE BURNOUT VELVET,1.34
1780,EFFERVESCENT GREEN,1780,TE00001117,CREPE DE CHINE VINO PV1200 173 CDC16MM 44 45,1.10
1781,MUTED JADE,1781,TE00009790,SOLID CDC DARK CHOCOLATE 190 PREVIEW,1.10
1782,TOPAZ BLUE,1782,TE00010186,SOLID CDC WINE 172 PREVIEW,1.10
1783,MYKONOS BLUE,1783,,,
1784,MIDNIGHT SKY BLUE,1784,TE00010134,"SOLID JERSEY, ART. DEANNA GBINDA, COL.7641 BROWN",1.40
1785,LIQUIORICE BLACK,1785,TEN0005952,DENIM CRUDO BPT IRINAPOWER,1.36
1786,HAWAIIAN,1786,TE00010154,CREPE DE SEDA SEK386N MOSTAZA 602,1.38
1787,ROADTRIP MARSALA,1787,TE00002598,TAFETA SEDA NEGRO PV9000 T28/196,1.37
1788,ROADTRIP RED PEPPER,1788,TE00010137,"SOLID JERSEY, ART. DEANNA GBINDA, COL.BLACK",
1789,ROADTRIP ECRU,1789,TE00010196,"PRINTED HAMMERED CHARMEUSE, ART.SEK103N/GG/140 RATTI, RE25 RTW ARCO TROPICAL EXUBERNACE MARSALA/ECRU 160CM",1.40
1790,ROADTRIP BLACK,1790,TE00009495,"SOLID TERRY 027P0008290, COL.10 BLACK",1.35
1791,PALMS SHADES OF GREEN,1791,PC00780,"MESCALERO VEST, PF'24 RTW, INCALPACA, COL.ECRU",
1792,PALMS EMERALD GREEN,1792,PC00781,"MESCALERO VEST, PF'24 RTW, INCALPACA, COL.NEGRO",
1793,PALMS DARK,1793,PC00782,"MESCALERO VEST, PF'24 RTW, INCALPACA, COL.CHOCOLATE",
1794,PALMS CURCUMA,1794,PC00783,"MESCALERO VEST, PF'24 RTW, INCALPACA, COL.CAMEL",
1795,PALMS CURCUMA/SHADES OF GREEN,1795,PC00784,"MESCALERO VEST, PF'24 RTW, INCALPACA, COL.RUST",
1796,PALMS LAVA RED,1796,PC00785,"MESCALERO VEST, PF'24 RTW, INCALPACA, COL.VINO",
1797,VANILLA FLOWER SAND/ECRU,1797,TEL0007073,"METALLIC SEQUIN EMB-A09399/12, VENTURES, BLACK/DARK GOLD",0.95
1798,VANILLA FLOWER ECRU,1798,TE00010136,"SOLID JERSEY, ART. DEANNA GBINDA, COL.7646 ECRU",1.40
1799,VANILLA FLOWER SAND,1799,TE00010135,"SOLID JERSEY, ART. DEANNA GBINDA, COL.7642 ORANGE",1.40
1800,VANILLA FLOWER INDIAN HENNA,1800,TE00010008,"PRINTED WASHED CDC, CRK016-RATTI, RE25 ARCO TROPICAL EXUBERNACE YELLOW-BROWN-ECRU 160CM",1.34
1801,VANILLA FLOWER CURCUMA,1801,TE00008940,SOLID LYCRA CAPRI.19 WITH LUREX METALLICA BLACK #21,1.45
1802,VANILLA FLOWER ROOIBOS RED,1802,TE00010055,"EYELET COTTON, ART. YORK44 ARGOMENTI, COL.ECRU",1.50
1803,VANILLA FLOWER ECRU/NAVY,1803,TE00010138,"PRINTED LYCRA VITTA, FY0427J RATTI, RE'25 SWIM SALTY PALMS BLACK ECRU MINT 80CM",1.46
1804,VANILLA FLOWER ECRU/POISON GREEN,1804,TE00010139,"PRINTED LYCRA VITTA, FY0427J RATTI, RE'25 SWIM SALTY PALMS ECRU RED BROWN 80CM",1.46
